FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North central cist,Turf Knowe North central cist cremation deposit,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",4m,Kerbed round cairn,Cist,N-S,".85m long by .5m wide, depth not specified",85,50,?,At centre of cairn,Centre,"Cist, oriented North-South, set in pit in subsoil, surrounded and covered by cairn. Four sides slabs, one to the West very ragged. Single flat cover slab. Two side slabs and cover slabs described as taken from outcrop nearby to West of site. Three of the stones lining the pit were important: a saddle quern (rubbing face upwards) and two cupmarked stones in volcanic rocks",One of 2 cists. ,Cremation,"The vessel was probably placed in the cist with no soil fill, and the fills belong to a later, secondary deposit of pyre debris, which covered the vessel and its spilled contents","The Food Vessel lay on its side to N of cist with mouth to the S: the bone had spilled out and the vessel had become filled with soil. Flint flakes and jet beads were below this vessel. Note that the vessel and bone was covered with later fills which provide earlier absolute dates, suggesting the placement of ancient pyre debris in a cist already used to deposit a Food Vessel cremation, or possibly even at the same time as this deposit. Alternatively, noting the date of c. 2490-2200 BC for the ecentric infant cremation burial in the NE of the cairn, this cist may have been first in use prior to then, and the Food Vessel may itself have been intrusive, and then covered over with remains already present in the cist. I would suggest all of the remains in this cist be seen as secondary uses",N/a,1,Female,Adult,Site currently in post-excavation analysis,Site currently under post-excavation analysis,Excavation report,"Food Vessel, flint flakes and jet beads ",Food Vessel is 'Yorkshire Vase' style,Vase Food Vessel,Vase Food Vessel ,Y (in 1997 interim plate 3),N,N,3360+-35 BP (1750-1530 cal BC) from the cremated bone in the vessel [GU-12458],"1750-1530 BC for re-use, 2150-1750 original","Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North central cist,Turf Knowe North central cist cremation pyre deposit,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",4m,Kerbed round cairn,Cist,N-S,".85m long by .5m wide, depth not specified",85,50,?,At centre of cairn,Centre,"Cist, oriented North-South, set in pit in subsoil, surrounded and covered by cairn. Four sides slabs, one to the West very ragged. Single flat cover slab. Two side slabs and cover slabs described as taken from outcrop nearby to West of site. Three of the stones lining the pit were important: a saddle quern (rubbing face upwards) and two cupmarked stones in volcanic rocks",One of 2 cists. A total of 17 cremation deposits are mentioned at this site in the 1997 interim (p8),Multiple cremation,"Brown earth soil, 1 of 2 distinct fills. This recut and deposit sloped from an entry point to the NW of the cist. The bone report (J McKinley, 1998) states that some of the bone in these fills has the appearance of having decayed before it was placed in these charcoal-rich fills, which retard such decay. This suggests the cist may have been used partly as a dump for ash and pyre debris, and partly to deposit bone deliberately. When combined with the dating evidence, this suggests the placement of ancient pyre debris in a cist already used to deposit a food vessel cremation, or possibly even at the same time as this deposit. It is possible some unburnt teeth fragments could be animal in origin","Bone spread sparsely within a charcoal-rich soil matrix with dense ash. The bone report (J McKinley, 1998) states that some of the bone in these fills has the appearance of having decayed before it was placed in these charcoal-rich fills, which retard such decay. This suggests the cist may have been used partly as a dump for ash and pyre debris, and partly to deposit bone deliberately. When combined with the dating evidence, this suggests the placement of ancient pyre debris in a cist already used to deposit a food vessel cremation, or possibly even at the same time as this deposit. Alternatively, noting the date of c. 2490-2200 BC for the ecentric infant cremation burial in the NE of the cairn, this cist may have been first in use prior to then, and the food vessel may itself have been intrusive, and then covered over with remains already present in the cist. I would suggest all of the remains in this cist be seen as secondary uses",N/a,2,Indet.,"Infant (1), adult (1, may be same as in primary deposit, disturbed)","The bone report (J McKinley, 1998) states that some of the bone in these fills has the appearance of having decayed before it was placed in these charcoal-rich fills, which retard such decay. This suggests the cist may have been used partly as a dump for ash and pyre debris, and partly to deposit bone deliberately. When combined with the dating evidence, this suggests the placement of ancient pyre debris in a cist already used to deposit a food vessel cremation, or possibly even at the same time as this deposit",Site currently under post-excavation analysis,Excavation report,None,N/a,N/a,N/a,N/a,N/a,"3480+-50 BP (1940-1680 cal BC, 2 sigma) [GU-8648] from wood charcoal (outer 5 rings of roundwood) found within soil surrounding the food vessel etc. A date, from as yet unspecified material comes from this fill, which surrounds the earlier placement of a food vessel: 3740+-60 BP (2340-1950 cal BC, 2 sigma) [Beta-121731]. These fills were actually deposited later than the date of the original deposition of the food vessel, and their earlier dates suggest that this pyre debris was recovered from some already ancient context and brought to this site. This would fit with McKinley's bone report.",N,"1940-1680 for re-use, 2340-1950 BC original","Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North cremation insertion 1,Turf Knowe North cremation insertion 1,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",10m,Kerbed round cairn,Pit,E-W,.5m long by .3m wide,50,30,?,"2.2m NE of central cist, within perimeter of primary cairn",North East,"Pit, cut through cairn into subsoil, 2.2m north-east of central cist",One of at least 5 deposits of cremated bone or pyre debris in the body of the cairn and at least two periods of cist re-use,Multiple cremation,Very little charcoal or ash in deposit,"Urn was placed inverted in a hollow on the side of the cairn, containing all of the cremated remains",N/a,2,Indet.,"Infant (1), adult (1, intrusive scraps only)",Infant suffered from meningitis,Site currently under post-excavation analysis,Excavation report,Enlarged Food Vessel Urn,,Enlarged Food Vessel Urn,Enlarged Food Vessel Urn,Y (1996 interim),N,N,"3860+-45 BP (2490-2200 cal BC, 2 sigma) from cremated bone [GU-9524]. Date seems erroneously early",2000-1750 BC ,"Adams, M. & Topping, P. 1996. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1996. Durham: Archaeological Services, University of Durham. Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North cremation insertion 2,Turf Knowe North cremation insertion 2,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",10m,Kerbed round cairn,Cremation deposit inserted in cairn/ site currently under post-excavation analysis,N/a,"Indeterminate, but the spreads occur in three foci in an area c. 2m from the E to the SE quadrant of the site, just within the kerb of the primary inner cairn",?,?,?,"SE quadrant of the cairn, just within the kerb of the primary inner cairn",South East,Placement of cremation deposit within cairn,One of at least 5 deposits of cremated bone or pyre debris in the body of the cairn and at least two periods of cist re-use. Bone is from same individuals as in pyre debris spread 1 (883/884),Multiple cremation,Charcoal-rich soil with ash,Not described in interim,N/a,2,"Male (1, older adult), Indet.","Older adult (1), juvenile (1)","Dental abcesses in older adult teeth, possible age-related joint disease in same individual. The bone report (McKinley) concludes that bones from the same two individuals are present here as in cremation pyre debris insertion 1 (883 and 884)",Site currently under post-excavation analysis,Excavation report,Part of bone/antler pin which conjoined with a part from pyre deposit 1 (883),,N/a,?,N/a,N,N,3425+-35 BP (1880-1620 cal BC) [GU-12459] ?cremated bone,1880-1620 BC,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North cremation insertion 3,Turf Knowe North cremation insertion 3,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",10m,Kerbed round cairn,Cremation deposit inserted in cairn/ site currently under post-excavation analysis,N/a,Indeterminate,?,?,?,?,?,"Placement of cremated bone in cairn (possibly a pit, clearly an insertion but did not cut through subsoil)",One of at least 5 deposits of cremated bone or pyre debris in the body of the cairn and at least two periods of cist re-use. Bone is from same individuals as in pyre debris spread 2 (833),Cremation,Charcoal-rich soil with ash,Not described in interim,N/a,1,Female (?),Young adult,Site currently in post-excavation analysis,Site currently under post-excavation analysis,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,"3615+-35 BP (2130-1880 cal BC, 2 sigma) from cremated bone? [GU-12460]",2130-1880 BC,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North cremation pyre debris insertion 1,Turf Knowe North cremation pyre debris insertion 1,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",10m,Kerbed round cairn,"Two spreads of pyre debris (883, 884), apparently from the pyres of the same two individuals as represented in cremation insertion 2 (822)",N/a,"Indeterminate, but the spreads occur in three foci in an area c. 2m from the E to the SE quadrant of the site, just within the kerb of the primary inner cairn",?,?,?,"E to SE quadrant of the cairn, just within the kerb of the primary inner cairn",East South East,Placement of cremation pyre debris on or insertion within cairn,One of at least 5 deposits of cremated bone or pyre debris in the body of the cairn and at least two periods of cist re-use. Bone is from same individuals as in cremation deposit 2 (822),Multiple cremation,Charcoal-rich soil with ash,Not described in interim,N/a,2,"Male (?) (1), older adult, Female (1?), older juvenile","Older adult (1), older juvenile (1)",The bone report (McKinley) concludes that bones from the same two individuals are present here as in cremation pyre debris insertion 1 (883 and 884),Site currently under post-excavation analysis,Excavation report,Part of bone/antler pin which conjoined with a part from cremation deposit 2 (822),,N/a,?,N/a,N/a,N,"None, but if bone report is correct in attributing the same individuals as cremation deposit 2, dates for at least one individual should be same as: 3425+-35 BP (1880-1620 cal BC) (GU-12459) ?cremated bone",1880-1620 BC,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North cremation pyre debris insertion 2,Turf Knowe North cremation pyre debris insertion 2,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",10m,Kerbed round cairn,Spread of cremation pyre debris,N/a,Not given,?,?,?,"NE of the cairn, just outside the perimeter of the primary inner cairn and kerb",North East,Placement of cremation pyre debris on or insertion within cairn,One of at least 5 deposits of cremated bone or pyre debris in the body of the cairn and at least two periods of cist re-use. Bone is from same individuals as in cremation deposit 3 (824),Cremation,Charcoal-rich soil with ash,Not described in interim,N/a,1,Indet.,Adult,Only small quantities of bone present. The bone report (McKinley) concludes that bones from the same individual as in cremation deposit 3 (824). ,Site currently under post-excavation analysis,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,"None, but if bone report is correct in attributing the same individuals as cremation deposit 3, dates should be same as: 3615+-35 BP (2130-1880 cal BC, 2 sigma) from cremated bone? (GU-12460)",2130-1880 BC,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe North southern cist,Turf Knowe North southern cist mixed cremation and cremation pyre debris,Turf Knowe North round cairn,Northumberland,NU006157 ,400600,615700,"On N facing spur of hill overlooking the Ingram Valley and River Breamish c. 1km to the N. Hill slopes away sharply just below the cairn, and cairn could not be viewed from below. Spring within 1km",North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Round cairn c. 10m in diameter, low cairn barely observable before excavation but probably heavily denuded so that only lowest course of stones survived. Consists of a primary cairn c. 4m in diameter with a kerb and a later phase with kerb. These two phases seem to have been separated by a phase of ploughed soil (and soil from a phase of ploughing including Bronze Age potsherds also covered the final cairn structure).  The outer kerb was most substantial at the southern arc of the site, and a ring ditch was found around the southern perimeter too",10m,Kerbed round cairn,Cist,N/a,.6m square (internal),60,60,60,"At SSW perimeter of primary cairn, 2m within the perimeter of the (possibly later) kerb",South South West,"Cist, square, set in pit in subsoil, with flat cover slab and four solid side slabs. Two side slabs (opposed to one another) were from pink rounded edged andesite blocks, while the other two were from ""flat grey side slabs""",One of 2 cists,Multiple cremation,"Charcoal-rich soil, cremated bone","The bone report (J McKinley, 1998) states that the bone in these fills has the appearance of having decayed before it was placed in these charcoal-rich fills, which retard such decay. This suggests the cist may have been used partly as a dump for ash and pyre debris, and partly to deposit bone deliberately, while the dating suggests a single deposit of inter-mixed remains or a single event of inter-mixing remains from various sources in this cist. In effect, the deposit is a mixture of older pyre debris and cremated bone, some of which had suffered erosion before being mixed with more recent or better preserved bone and with pyre debris, and then deposited in the cist",N/a,3,Indet.,"Adult, 18-30 (1), Adult 30+ (1), immature (1)","The bone report (J McKinley, 1998) states that the bone in these fills has the appearance of having decayed before it was placed in these charcoal-rich fills, which retard such decay. This suggests the cist may have been used partly as a dump for ash and pyre debris, and partly to deposit bone deliberately, while the dating suggests a single deposit of inter-mixed remains or a single event of inter-mixing remains from various sources in this cist",Site currently under post-excavation analysis,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,"3355+-35 BP (1740-1530 cal BC, 2 sigma) [GU-12456] and  3380+-35 BP (1760-1530 cal BC)  [GU-12457], both from cremated bone. It is notable that the dates from bone taken at the top and bottom of the cist are almost identical - they potentially come from the same individual, and/or suggest strong inter-mixing of remains within the deposit",1750-1550 BC,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe South tri-radial cairn eastern cist (1/A),Turf Knowe South tri-radial cairn eastern cist ,Turf Knowe South tri-radial cairn,Northumberland,NU006157 ,400600,615700,On N facing spur of hill overlooking the Ingram valley and River Breamish c. 1km to the north. Cairn positioned on ridge top. Spring within 1km,North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Cist in pits next to Tri-radial cairn, each arm of which is c. 6m in length from centre, and 1m wide. The cist was placed just NW of the SW arm. The site consists of a 'kerb' of set stones, the space between which is filled with cairn stones, all of which are described as water-rounded boulders of pyroclast, andesite and granite brought from the river valley",N/a,Cist associated with cairn/cemetery,Cist,N/a,.5m squared cist,50,50,50,"1m W from the intersection between the SW and NW arms of the tri-radial cairn. Set within a bedding pit 2.8m by 1.6m, 1.2m deep. This pit contained a displaced food vessel",N/a,"Cist, square, set into pit cut into subsoil next to tri-radial cairn, and covered with two flat slabs. 5 side slabs. No base slab, but 2 flat cover slabs","One of 2 cists in a large pit, which is one of two pits",uncremated remains?,"Cist filled with ""very humic rich dark brown soil"" (interim 1997) or sandy loam (draft report, ASUD), in several fills: one fill contained a hazlenut shell. Severe worm action had homogenised some fills","Cist filled with ""very humic rich dark brown soil"" (interim 1997) or sandy loam (draft report, ASUD), in several fills: one fill contained a hazlenut shell. Severe worm action had homogenised some fills",?,No bone recovered,N/a,N/a,N/a,Site currently in post-excavation analysis,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe South tri-radial cairn pit 2,Turf Knowe South tri-radial pit 2,Turf Knowe South tri-radial cairn,Northumberland,NU006157 ,400600,615700,On N facing spur of hill overlooking the Ingram valley and River Breamish c. 1km to the north. Cairn positioned on ridge top. Spring within 1km,North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Pit next to Tri-radial cairn, each arm of which is c. 6m in length from centre, and 1m wide. The pit was placed just NW of the SW arm. The site consists of a 'kerb' of set stones, the space between which is filled with cairn stones, all of which are described as water-rounded boulders of pyroclast, andesite and granite brought from the river valley",N/a,Pit associated with cairn/cemetery,Pit,N/a,".65m diameter, 1.3m deep",65,65,130,3.5m WSW from the intersection of the SW and NW arms of the tri-radial cairn,N/a,Pit cut through subsoil and located close to the edge of a tri-radial cairn,Within 2m of a larger pit which contained two cists,uncremated remains?,Charcoal-rich soil and black organic deposit within vessel. Base of feature was clay silt which contained charred twigs,"Charcoal-rich soil and black organic deposit within vessel. The vessel was placed inverted in the pit, and a crescent-shaped piece of flint was found below it. Base of feature was clay silt which contained charred twigs",?,No bone recovered,N/a,N/a,N/a,Site currently in post-excavation analysis,Excavation report,"Food Vessel, crescent-shaped flint",,Food Vessel,Awaiting publication,N,N,"Two results were produced from dating charcoal: 3010+-40 BP (1390-1120 cal BC) (GU-12454) from charcoal and 6140+-35 BP (5210-4990 cal BC, 2 sigma) (GU-12455). This latter presumably comes from the charred twigs at the base of the pit, and is clearly older than the EBA activity and residual to the site.",N/a,?,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turf Knowe South tri-radial cairn western cist (2/B),Turf Knowe South tri-radial cairn western cist cremation deposit 2,Turf Knowe South tri-radial cairn,Northumberland,NU006157 ,400600,615700,On N facing spur of hill overlooking the Ingram valley and River Breamish c. 1km to the north. Cairn positioned on ridge top. Spring within 1km,North East and South East,Upland,260m,Cheviot Fringe,Hillside near to stream & hillside with river view,"One of two cairns (one round, one tri-radial)","Cists in pit next to Tri-radial cairn, each arm of which is c. 6m in length from centre, and 1m wide. The cist was placed just NW of the SW arm. The site consists of a 'kerb' of set stones, the space between which is filled with cairn stones, all of which are described as water-rounded boulders of pyroclast, andesite and granite brought from the river valley",N/a,Cist associated with cairn/cemetery,Cist,NW-SE,1m long by .5m wide (depth not given),100,50,?,"2m WSW from the intersection between the SW and NW arms of the tri-radial cairn. Set within a bedding pit 2.8m by 1.6m, 1.2m deep. This pit contained a displaced Food Vessel",N/a,"Cist, oriented North West-South East, set in larger pit with one other cist, next to tri-radial cairn","One of 2 cists in a large pit, which is one of two pits",Cremation,Silty soil,Cremated bone throughout fill,N/a,1,Indet.,Adult,Cremation deposit was truncated by activity which included deposition of iron spearhead socket; only c. 140g of bone remained,Site currently in post-excavation analysis,Excavation report,Iron spearhead socket is intrusive,,N/a,Awaiting publication,N/a,N/a,N,"3610+-40 BP (2130-1870 cal BC, 2 sigma) from cremated bone [GU-12453]",2130-1870 original use,"Adams, M & Carne, P. 1997. The Ingram and Upper Breamish Valley Landscape Project, Interim Report 1997. Durham: Archaeological Services, University of Durham & McKinley, J. 1998: Breamish Valley, Ingram, Northumbria: Cremated Bone Reports. Salisbury: Trust for Wessex Archaeology Ltd., Salisbury. ",1990s,Site currently under post-excavation analysis (at Durham University),ASUD,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
